wo_id,equipment_tag,date,wo_type,description,technician,downtime_hours,parts_used
WO-24025,P-101,2024-07-01,Preventive,Scheduled preventive maintenance as per PM plan for Cooling Water Pump A.,M. Reddy,4.0,
WO-24042,P-102,2024-07-01,Preventive,Scheduled preventive maintenance as per PM plan for Cooling Water Pump B.,V. Patil,3.6,
WO-24058,P-201,2024-07-01,Preventive,Scheduled preventive maintenance as per PM plan for Boiler Feed Pump.,M. Reddy,3.0,
WO-24073,C-201,2024-07-01,Preventive,Scheduled preventive maintenance as per PM plan for Coke Oven Gas Compressor.,P. Singh,1.9,
WO-24087,C-202,2024-07-01,Preventive,Scheduled preventive maintenance as per PM plan for Instrument Air Compressor.,V. Patil,1.2,
WO-24101,B-301,2024-07-01,Preventive,Scheduled preventive maintenance as per PM plan for Boiler No. 3.,K. Nair,2.7,
WO-24117,COB-1,2024-07-01,Preventive,Scheduled preventive maintenance as per PM plan for Coke Oven Battery 1.,M. Reddy,2.1,
WO-24130,CV-401,2024-07-01,Preventive,Scheduled preventive maintenance as per PM plan for Coal Conveyor 401.,A. Khan,2.3,
WO-24144,CV-402,2024-07-01,Preventive,Scheduled preventive maintenance as per PM plan for Coke Conveyor 402.,P. Singh,1.2,
WO-24158,TR-501,2024-07-01,Preventive,Scheduled preventive maintenance as per PM plan for Main Power Transformer.,R. Sharma,3.6,
WO-24172,TR-502,2024-07-01,Preventive,Scheduled preventive maintenance as per PM plan for Auxiliary Transformer.,R. Sharma,3.3,
WO-24185,V-601,2024-07-01,Preventive,Scheduled preventive maintenance as per PM plan for Ammonia Storage Vessel.,V. Patil,2.3,
WO-24204,F-701,2024-07-01,Preventive,Scheduled preventive maintenance as per PM plan for ESP Fan.,V. Patil,3.2,
WO-24222,GD-801,2024-07-01,Preventive,Scheduled preventive maintenance as per PM plan for CO Gas Detector Array - Battery Top.,R. Sharma,2.8,
WO-24236,EOT-901,2024-07-01,Preventive,Scheduled preventive maintenance as per PM plan for EOT Crane 20T.,R. Sharma,3.7,
WO-24072,C-201,2024-07-03,Corrective,Discharge temperature high reported by shift crew; rectified and tested OK.,M. Reddy,11.3,
WO-24110,COB-1,2024-07-26,Corrective,Door seal leakage reported by shift crew; rectified and tested OK.,D. Bose,9.8,
WO-24139,CV-402,2024-07-26,Corrective,Belt tracking fault reported by shift crew; rectified and tested OK.,A. Khan,11.8,
WO-24057,P-201,2024-08-02,Corrective,Seal leak reported by shift crew; rectified and tested OK.,V. Patil,7.1,
WO-24099,B-301,2024-08-15,Corrective,Tube leak reported by shift crew; rectified and tested OK.,D. Bose,9.7,
WO-24098,B-301,2024-08-22,Corrective,Tube leak reported by shift crew; rectified and tested OK.,K. Nair,10.3,
WO-24215,GD-801,2024-08-22,Corrective,Calibration overdue reported by shift crew; rectified and tested OK.,P. Singh,3.1,
WO-24171,TR-502,2024-08-23,Corrective,Buchholz alarm reported by shift crew; rectified and tested OK.,A. Khan,8.5,
WO-24054,P-201,2024-09-04,Corrective,Seal leak reported by shift crew; rectified and tested OK.,R. Sharma,7.9,
WO-24216,GD-801,2024-09-05,Corrective,Calibration overdue reported by shift crew; rectified and tested OK.,P. Singh,2.7,
WO-24232,EOT-901,2024-09-12,Corrective,Brake lining wear reported by shift crew; rectified and tested OK.,S. Iyer,9.9,
WO-24086,C-202,2024-09-13,Corrective,Valve plate failure reported by shift crew; rectified and tested OK.,P. Singh,8.2,
WO-24018,P-101,2024-09-19,Corrective,Impeller wear reported by shift crew; rectified and tested OK.,D. Bose,7.8,
WO-24154,TR-501,2024-09-21,Corrective,Oil leak reported by shift crew; rectified and tested OK.,S. Iyer,4.3,
WO-24170,TR-502,2024-09-22,Corrective,Buchholz alarm reported by shift crew; rectified and tested OK.,R. Sharma,9.5,
